cultivar,price,note,id,url,image,hybridizer,year,color,parentage,ploidy,bloomseason,budcount,branches,form,bloomsize,bloomhabit,seedlingnum,foliagetype,scapeheight,fragrance,sculpting,rebloom
A Few Good Men,"",,162674,https://www.daylilies.org/DaylilyDB/detail.php?id=162674,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/A_Few_Good_Men.jpg,Bell-T.,2009,peach with purple eye and edge above green throat,(Filled with Wonder × sdlg),Tetraploid,"Early-Midseason,Rebloom",35,4,"","5 in, (13 cm)",Diurnal,4-Feb,Evergreen,"34 in, (86 cm)",Fragrant,"",""
A Little Night Music,"",,169964,https://www.daylilies.org/DaylilyDB/detail.php?id=169964,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/A Little Night Music.jpg,Salter,2012,"light cream white with an intense and extremely dark black purple eye and edging, very round and full with the petal edges being slightly ruffled, substance heavy and holds well",(unknown × unknown),Tetraploid,"Midseason,Rebloom","","","","6 in, (15 cm)",Diurnal,JS-1 S2012,Evergreen,"29 in, (74 cm)","","",""
Aaron'S Dinner Plate,"",,143599,https://www.daylilies.org/DaylilyDB/detail.php?id=143599,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Aaron's_Dinner_Plate.jpg,Joiner-A.,2001,amber yellow with light rose halo above green yellow throat,(Aaron's Whopper × Nell McCreery),Diploid,"Midseason,Rebloom",16,3,"","9 in, (23 cm)",Diurnal,A98-D-AW-NM-113,Evergreen,"26 in, (66 cm)","","",""
Abalone Bite,"",,186794,https://www.daylilies.org/DaylilyDB/detail.php?id=186794,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/AbaloneBite_1533581870.jpg,Pierce-G.,2018,"Cream white with dark patterned eyezone, double edge of black with white teeth, teeth on sepals, and green throat.",(Spinefeld × Briar Patch),Tetraploid,"Early-Midseason,Rebloom",30,5,"","5.5 in, (13 cm)",Diurnal,584,Evergreen,"32 in, (81 cm)","","",""
Abalone Island,$10.00,,10,https://www.daylilies.org/DaylilyDB/detail.php?id=10,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Abalone Island_1516294303.jpeg,Guidry-D.,1994,cream self with green throat,"",Diploid,"Early,Rebloom","","",Double,"5.5 in, (14 cm)",Diurnal,Cr-Gr-1-91-D,Evergreen,"25 in, (64 cm)","","",""
Abilene Strawberry,$15.00,,165069,https://www.daylilies.org/DaylilyDB/detail.php?id=165069,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Abilene_Strawberry.jpg,Maddox,2010,"white with pink edge and band, yellow throat",(Strawberry Fields Forever × Abilene Man),Tetraploid,"Early-Midseason,Rebloom",12,3,"","5 in, (13 cm)",Diurnal,JT-7329,Evergreen,"28 in, (71 cm)","","",""
Absolute Ripper,$20.00,,165778,https://www.daylilies.org/DaylilyDB/detail.php?id=165778,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/ABSOLUTE RIPPER.jpg,Hansen-D.,2010,purple with yellow throat white shark's teeth on all edges,(((Tooth × Mort Morss) × sdlg) × Purple Pajamas),Tetraploid,"Early,Rebloom",15,3,"","10 in, (25 cm)",Diurnal,9NT4,Evergreen,"35 in, (89 cm)","","",""
Across The Universe,$15.00,,149757,https://www.daylilies.org/DaylilyDB/detail.php?id=149757,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Across_the_Universe.jpg,Trimmer,2004,ivory infused pink polychrome above green throat,(London Calling × sdlg),Tetraploid,"Early-Midseason,Rebloom",20,2,"","6.5 in, (17 cm)",Diurnal,"",Evergreen,"25 in, (64 cm)",Fragrant,"",""
Affair D'Amour,$10.00,,144942,https://www.daylilies.org/DaylilyDB/detail.php?id=144942,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Affair_D'Amore.jpg,Kirchhoff-D.,2001,melon blushed coral with coral rose halo above apricot throat,((Mango Coral × Russian Easter) × John Kirkland),Tetraploid,Midseason,17,3,Double,"5.5 in, (14 cm)",Extended,"",Evergreen,"28 in, (71 cm)","","",""
After the Fire,"",,148877,https://www.daylilies.org/DaylilyDB/detail.php?id=148877,https://www.daylilies.org/DaylilyDB/AHSPhoto/A/After_the_fire.jpg,Petit,2003,red with gold edge above green throat,(Amber Storm × ((Highland Lord × Betty Warren Woods) × Fires of Fuji)),Tetraploid,"Midseason,Rebloom","","",Double,"5.5 in, (14 cm)",Diurnal,S-04-02,Semi-Evergreen,"27 in, (69 cm)",Fragrant,"",""
