slug	cultivar	price	note	url	image	hybridizer	year	parentage	color	branches	budcount	form	foliagetype	seedlingnum	bloomhabit	fragrance	scapeheight	bloomseason	rebloom	bloomsize	ploidy	sculpting	id
a-few-good-men	A Few Good Men			https://daylilies.org/DaylilyDB/detail.php?id=162674	https://www.daylilies.org/DaylilyDB/AHSPhoto/A/A_Few_Good_Men.jpg	Bell-T.	2009	(Filled with Wonder × sdlg)	peach with purple eye and edge above green throat	4	35		Evergreen	2-04	Diurnal	Fragrant	34 in, (86 cm) 	Early-Midseason,Rebloom		5 in, (13 cm) 	Tetraploid		162674
a-little-night-music	A Little Night Music			https://daylilies.org/DaylilyDB/detail.php?id=169964	https://www.daylilies.org/DaylilyDB/AHSPhoto/A/A Little Night Music.jpg	Salter	2012	(unknown × unknown)	light cream white with an intense and extremely dark black purple eye and edging, very round and full with the petal edges being slightly ruffled, substance heavy and holds well				Evergreen	JS-1 S2012	Diurnal		29 in, (74 cm) 	Midseason,Rebloom		6 in, (15 cm) 	Tetraploid		169964
aarons-dinner-plate	Aaron's Dinner Plate			https://daylilies.org/DaylilyDB/detail.php?id=143599	https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Aaron's_Dinner_Plate.jpg	Joiner-A.	2001	(Aaron's Whopper × Nell McCreery)	amber yellow with light rose halo above green yellow throat	3	16		Evergreen	A98-D-AW-NM-113	Diurnal		26 in, (66 cm) 	Midseason,Rebloom		9 in, (23 cm) 	Diploid		143599
abalone-bite	Abalone Bite			https://daylilies.org/DaylilyDB/detail.php?id=186794	https://www.daylilies.org/DaylilyDB/AHSPhoto/A/AbaloneBite_1533581870.jpg	Pierce-G.	2018	(Spinefeld × Briar Patch)	Cream white with dark patterned eyezone, double edge of black with white teeth, teeth on sepals, and green throat.	5	30		Evergreen	584	Diurnal		32 in, (81 cm) 	Early-Midseason,Rebloom		5.5 in, (13 cm) 	Tetraploid		186794
abilene-strawberry	Abilene Strawberry	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=165069	https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Abilene_Strawberry.jpg	Maddox	2010	(Strawberry Fields Forever × Abilene Man)	white with pink edge and band, yellow throat	3	12		Evergreen	JT-7329	Diurnal		28 in, (71 cm) 	Early-Midseason,Rebloom		5 in, (13 cm) 	Tetraploid		165069
abalone-island	Abalone Island	$12.00		https://daylilies.org/DaylilyDB/detail.php?id=10	https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Abalone Island_1516294303.jpeg	Guidry-D.	1994		cream self with green throat			Double	Evergreen	Cr-Gr-1-91-D	Diurnal		25 in, (64 cm) 	Early,Rebloom		5.5 in, (14 cm) 	Diploid		10
absolute-ripper	Absolute Ripper	$20.00		https://daylilies.org/DaylilyDB/detail.php?id=165778	https://www.daylilies.org/DaylilyDB/AHSPhoto/A/ABSOLUTE RIPPER.jpg	Hansen-D.	2010	(((Tooth × Mort Morss) × sdlg) × Purple Pajamas)	purple with yellow throat white shark's teeth on all edges	3	15		Evergreen	9NT4	Diurnal		35 in, (89 cm) 	Early,Rebloom		10 in, (25 cm) 	Tetraploid		165778
across-the-universe	Across The Universe	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=149757	https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Across_the_Universe.jpg	Trimmer	2004	(London Calling × sdlg)	ivory infused pink polychrome above green throat	2	20		Evergreen		Diurnal	Fragrant	25 in, (64 cm) 	Early-Midseason,Rebloom		6.5 in, (17 cm) 	Tetraploid		149757
almond-puff	Almond Puff	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=12446	https://www.daylilies.org/DaylilyDB/AHSPhoto/A/Almond_Puff.jpg	Stamile	1990	(Salt Lake City × Barbara Mitchell)	beige self with green throat			Double	Dormant	D834-B	Extended	Fragrant	23 in, (58 cm) 	Midseason		6.5 in, (17 cm) 	Diploid		12446
banana-smoothie	Banana Smoothie			https://daylilies.org/DaylilyDB/detail.php?id=154997	https://www.daylilies.org/DaylilyDB/AHSPhoto/B/banana_smoothie.jpg	George-T.	2006	((Rob Cobb × Galaxy Rose) × Webster's Pink Wonder)	yellow self above green throat	6	40	Unusual FormCrispate	Semi-Evergreen	5854WebstersPW	Diurnal		64 in, (163 cm) 	Early-Midseason,Rebloom		10 in, (25 cm) 	Tetraploid		154997
